material,cases,pred_directional,p_directional,confidence,review_status
MDF BLANCO FROSTY LABRADA 15MM 2C,1368,False,0.0044,0.9956,AUTO_HIGH
E18W954ST14 BLANCO ABSOLUTO AGLO 18X183X260 [SKU:1055],367,False,0.0172,0.9828,AUTO_HIGH
MEL EN MDF BLANCO TUNDRA FAPLAC,322,False,0.0065,0.9935,AUTO_HIGH
Mdf Blanco 18mm 2.60x1.83m W954 ST14 (22314),318,False,0.0256,0.9744,AUTO_HIGH
FONDO BLANCO FAPLAC 3MM 2600X1830,278,False,0.0202,0.9798,AUTO_HIGH
AGLOMERADO NATURAL 15 MM 4 X 8,247,True,0.5057,0.5057,REVIEW_WEB_MANUAL
FIB MEL BLANCO 18MM 2.60X1.83,209,False,0.0076,0.9924,AUTO_HIGH
MELAMINA BLANCA 18mm FIBRAPLAC,208,False,0.0444,0.9556,AUTO_HIGH
MDF BCO FROSTY 15 MM 4 X 8 DURAPLAY,205,False,0.1362,0.8638,REVIEW_WEB_MANUAL
SMDF 18 TXT135-BLANCO,176,False,0.0032,0.9968,AUTO_HIGH
EDK MDF W954ST14 Blanco 18mmx2.60m 1419782 (419782,170,False,0.0084,0.9916,AUTO_HIGH
EMDF3W954 BLANCO ABSOLUTO 3X183X260 [SKU:5710],149,False,0.0366,0.9634,AUTO_HIGH
MDF MEL RIOJA FORESTA 15MM 2C,142,False,0.3209,0.6791,REVIEW_WEB_MANUAL
EDK AGL W954ST14 Blanco 18mmx2.60m1419285 (419285),140,False,0.0307,0.9693,AUTO_HIGH
Mdf Blanco 3mm 2.60x1.83m W954 ST14 (22365),137,False,0.0054,0.9946,AUTO_HIGH
MDF MEL BLANCO MATE 5.5MM 2C,136,False,0.0016,0.9984,AUTO_HIGH
FAPLAC FONDOS 3 BLANCO,136,False,0.0147,0.9853,AUTO_HIGH
MELAMINA SADEPAN 18MM BIANCO 780 S.AGLOM,131,False,0.051,0.949,AUTO_HIGH
MEL EN MDF BLANCO TEXTURA FAPLAC,130,False,0.082,0.918,AUTO_HIGH
TAB. ALTO BR SUNNY WHITE 18MM 285X122,115,True,0.9338,0.9338,AUTO_HIGH
EMDF18W954ST14 BLANCO ABSOLUTO 18X183X260 [SKU:2008],111,False,0.016,0.984,AUTO_HIGH
SMDF 18 TXT137-BLANCO TUNDRA,110,False,0.0032,0.9968,AUTO_HIGH
BLANCO 18 agl 2600x1830,107,False,0.0287,0.9713,AUTO_HIGH
